"id","url","name","answers","rightAnswer","description","ask"
"000f5042-c498-4de7-9909-64ecf96179e1",humanas-11-2015,Ciências Humanas e suas Tecnologias - QUESTÃO 11 - 2015,"{""a"": ""cíclica, marcada pelo mito arcaico do eterno retorno."", ""b"": ""humanista, identificada pelo controle das horas de atividade por parte do trabalhador."", ""c"": ""escatológica, associada a uma visão religiosa sobre o trabalho."", ""d"": ""natural, expressa pelo trabalho realizado de acordo com as estações do ano."", ""e"": ""romântica, definida por uma visão bucólica da sociedade.""}",d,"<img src='https://enemapi.erikna.com/images/2015/11.png' /><br />Os calendários são fontes históricas importantes, na medida em que expressam a concepção de tempo das sociedades. ","Essas imagens compõem um calendário medieval (1460-1475) e cada uma delas representa um mês, de janeiro a dezembro. Com base na análise do calendário, apreende-se uma concepção de tempo"
"0024a218-dc51-4084-92ce-41968633c6d3",matematica-167-2012,Matemática e suas Tecnologias - QUESTÃO 167  - 2012,"{""a"": ""0,20 m e 1,45 m."", ""b"": ""0,20 m e 1,40 m."", ""c"": ""0,25 m e 1,35 m."", ""d"": ""0,25 m e 1,30 m."", ""e"": ""0,45 m e 1,20 m.""}",e,"Num projeto da parte elétrica de um edifício residencial a ser construído, consta que as tomadas deverão ser colocadas a 0,20 m acima do piso, enquanto os interruptores de luz deverão ser colocados a 1,47 m acima do piso. Um cadeirante, potencial comprador de um apartamento desse edifício, ao ver tais medidas, alerta para o fato de que elas não contemplarão suas necessidades. Os referenciais de alturas (em metros) para atividades que não exigem o uso de força são mostrados na figura seguinte.<br /><img src='https://enemapi.erikna.com/images/2012/167.png' />","Uma proposta substitutiva, relativa às alturas de tomadas e interruptores, respectivamente, que atenderá àquele potencial comprador é"
"0066231f-a3bf-4bb7-8a62-8d3303f9ae9f",humanas-71-2022,Ciências Humanas e suas Tecnologias - QUESTÃO 71 - 2022,"{""a"": ""Supressão de eleições de representantes políticos."", ""b"": ""Intervenção em áreas de vulnerabilidade pela Igreja."", ""c"": ""Disseminação de projetos sociais em universidades."", ""d"": ""Ampliação dos processos de concentração de renda."", ""e"": ""Regulamentação das relações de trabalho pelo Legislativo.""}",a,"O princípio básico do Estado de direito é o da eliminação do arbítrio no exercício dos poderes públicos, com a consequente garantia de direitos dos indivíduos perante esses poderes. Estado de direito signica que nenhum indivíduo, presidente ou cidadão comum está acima da lei. Os governos democráticos exercem a autoridade por meio da lei e estão eles próprios sujeitos aos constrangimentos impostos pela lei. ","Nas sociedades contemporâneas, consiste em violação do princípio básico enunciado no texto:"
"0067e712-938e-40ac-8935-8afcbfc13872",naturais-112-2018,Ciências Naturais e suas Tecnologias - QUESTÃO 112 - 2018,"{""a"": ""1,3 kΩ"", ""b"": ""4,0 kΩ"", ""c"": ""6,0 kΩ"", ""d"": ""6,7 kΩ"", ""e"": ""12,0 kΩ""}",c,"Muitos smartphones e tablets não precisam mais de teclas, uma vez que todos os comandos podem ser dados ao se pressionar a própria tela. Inicialmente essa tecnologia foi proporcionada por meio das telas resistivas, formadas basicamente por duas camadas de material condutor transparente que não se encostam até que alguém as pressione, modificando a resistência total do circuito de acordo com o ponto onde ocorre o toque.  A imagem é uma simplificação do circuito formado pelas placas, em que A e B representam pontos onde o circuito pode ser fechado por meio do toque.<br /><img src='https://enemapi.erikna.com/images/2018/112.png' />",Qual é a resistência equivalente no circuito provocada por um toque que fecha o circuito no ponto A?
"006a7928-e771-4830-aa45-ad23f85c3a0d",matematica-173-2015,Matemática e suas Tecnologias - QUESTÃO 173 - 2015,"{""a"": ""0,624."", ""b"": ""52,0."", ""c"": ""156,0."", ""d"": ""750,0."", ""e"": ""1 201,9.""}",b,"Alguns medicamentos para felinos são administrados com base na superfície corporal do animal. Foi receitado a um felino pesando 3,0 kg um medicamento na dosagem diária de 250 mg por metro quadrado de superfície corporal.<br />O quadro apresenta a relação entre a massa do felino, em quilogramas, e a área de sua superfície corporal, em metros quadrados.<br /><img src='https://enemapi.erikna.com/images/2015/173.png' />","A dose diária, em miligramas, que esse felino deverá receber é de"
"00750e06-caad-4171-af4d-00274dc91847",naturais-122-2022,Ciências Naturais e suas Tecnologias - QUESTÃO 122 - 2022,"{""a"": ""oxirredução."", ""b"": ""substituição."", ""c"": ""precipitação."", ""d"": ""desidratação."", ""e"": ""neutralização.""}",a,"A figura ilustra esquematicamente um processo de remediação de solos contaminados com tricloroeteno (TCE), um agente desengraxante. Em razão de vazamentos de tanques de estocagem ou de manejo inapropriado de resíduos industriais, ele se encontra presente em águas subterrâneas, nas quais forma uma ase líquida densa não aquosa (DNAPL) que se deposita no fundo do aquífero. Essa tecnologia de descontaminação emprega o íon persulato (S2O8 2−), que é convertido no radical •SO4 − por minerais que contêm Fe(III). O esquema representa de orma simplificada o mecanismo de ação química sobre o TCE e a ormação dos produtos de degradação. <br /><img src='https://enemapi.erikna.com/images/2022/122.png' />",Esse procedimento de remediação de águas subterrâneas baseia-se em reações de
"00bc2c56-67d6-44e1-b74c-e25cf0353e31",linguagens-118-2015,"Linguagens, Códigos e suas Tecnologias - QUESTÃO 118 - 2015","{""a"": ""inovação de uma proposta de arte relacional que adentra um museu."", ""b"": ""abordagem educacional estabelecida na relação da artista com o público."", ""c"": ""redistribuição do espaço do museu, que integra diversas linguagens artísticas."", ""d"": ""negociação colaborativa de sentidos entre a artista e a pessoa com quem interage."", ""e"": ""aproximação entre artista e público, o que rompe com a elitização dessa forma de arte.""}",d,"Na exposição “A Artista Está Presente”, no MoMA, em Nova Iorque, a performer Marina Abramovic fez uma retrospectiva de sua carreira. No meio desta, protagonizou uma performance marcante. Em 2010, de 14 de março a 31 de maio, seis dias por semana, num total de 736 horas, ela repetia a mesma postura. Sentada numa sala, recebia os visitantes, um a um, e trocava com cada um deles um longo olhar sem palavras. Ao redor, o público assistia a essas cenas recorrentes.","O texto apresenta uma obra da artista Marina Abramovic, cuja performance se alinha a tendências contemporâneas e se caracteriza pela"
"00c8d3f2-036f-410f-887b-2de16934c827",naturais-81-2014,Ciências Naturais e suas Tecnologias - QUESTÃO 81 - 2014,"{""a"": ""Consumidor primário, pois ataca diretamente uma espécie herbívora."", ""b"": ""Consumidor secundário, pois se alimenta diretamente dos tecidos da lagarta."", ""c"": ""Organismo heterótrofo de primeira ordem, pois se alimenta de pólen na fase adulta. "", ""d"": ""Organismo heterótrofo de segunda ordem, pois apresenta o maior nível energético na cadeia."", ""e"": ""Decompositor, pois se alimenta de tecidos do interior do corpo da lagarta e a leva à morte.""}",b,"Os parasitoides (misto de parasitas e predadores) são insetos diminutos que têm hábitos muito peculiares: suas larvas podem se desenvolver dentro do corpo de outros organismos, como mostra a figura. A forma adulta se alimenta de pólen e açúcares. Em geral, cada parasitoide ataca hospedeiros de determinada espécie e, por isso, esses organismos vêm sendo amplamente usados para o controle biológico de pragas agrícolas.<br /><img src='https://enemapi.erikna.com/images/2014/81.png' />",A forma larval do parasitoide assume qual papel nessa cadeia alimentar?
"00fa8d6b-3d18-48fc-8ac9-232484a719f9",matematica-175-2017,Matemática e suas Tecnologias - QUESTÃO 175 - 2017,"{""a"": ""12 , 24 e 36."", ""b"": ""6 , 12 e 18."", ""c"": "" 2 , 4 e 6."", ""d"": ""300 , 1 200 e 2 700."", ""e"": ""600 , 2 400 e 5 400.""}",a,"Pivô central é um sistema de irrigação muito usado na agricultura, em que uma área circular é projetada para receber uma estrutura suspensa. No centro dessa área, há uma tubulação vertical que transmite água através de um cano horizontal longo, apoiado em torres de sustentação, as quais giram, sobre rodas, em torno do centro do pivô, também chamado de base, conforme mostram as ﬁguras. Cada torre move-se com velocidade constante.<br /><img src='https://enemapi.erikna.com/images/2017/175.png' /><br />Um pivô de três torres (T1, T2 e T3) será instalado em uma fazenda, sendo que as distâncias entre torres consecutivas bem como da base à torre T1 são iguais a 50 m. O fazendeiro pretende ajustar as velocidades das torres, de tal forma que o pivô efetue uma volta completa em 25 horas. Use 3 como aproximação para π.","Para atingir seu objetivo, as velocidades das torres T1, T2 e T3 devem ser, em metro por hora, de"
"0102f897-324b-4abd-a2cb-354aa877fe1f",linguagens-29-2017,"Linguagens, Códigos e suas Tecnologias - QUESTÃO 29 - 2017","{""a"": "" destaca o “como” se elabora a mensagem, considerando-se a seleção, combinação e sonoridade do texto."", ""b"": "" coloca o foco no “com o quê” se constrói a mensagem, sendo o código utilizado o seu próprio objeto."", ""c"": "" focaliza o “quem” produz a mensagem, mostrando seu posicionamento e suas impressões pessoais."", ""d"": "" orienta-se no “para quem” se dirige a mensagem, estimulando a mudança de seu comportamento."", ""e"": "" enfatiza sobre “o quê” versa a mensagem, apresentada com palavras precisas e objetivas.""}",b,"TEXTO I<br />Fundamentam-se as regras da Gramática Normativa nas obras dos grandes escritores, em cuja linguagem as classes ilustradas põem o seu ideal de perfeição, porque nela é que se espelha o que o uso idiomático estabilizou e consagrou.<br />TEXTO II<br />Gosto de dizer. Direi melhor: gosto de palavrar. As palavras são para mim corpos tocáveis, sereias visíveis, sensualidades incorporadas. Talvez porque a sensualidade real não tem para mim interesse de nenhuma espécie — nem sequer mental ou de sonho —, transmudou-se-me o desejo para aquilo que em mim cria ritmos verbais, ou os escuta de outros. Estremeço se dizem bem. Tal página de Fialho, tal página de Chateaubriand, fazem formigar toda a minha vida em todas as veias, fazem-me raivar tremulamente quieto de um prazer inatingível que estou tendo. Tal página, até, de Vieira, na sua fria perfeição de engenharia sintáctica, me faz tremer como um ramo ao vento, num delírio passivo de coisa movida.",A linguagem cumpre diferentes funções no processo de comunicação. A função que predomina nos textos I e II
